Job_Name,Company,Location,Required_Skills,min_salary,max_salary
Chuyên Viên Kiểm Thử Phần Mềm,CÔNG TY CỔ PHẦN TẬP ĐOÀN APEC GROUP,Hà Nội: Cầu Giấy,Kiến Thức Về Kiểm Thử Phần Mềm|Kỹ Năng Viết Test Case|Kỹ Năng Thực Hiện Test,10000000,18000000
Intern Web Developer,Công ty TNHH Pancake Việt Nam,Thanh Hoá: TP Thanh Hoá,Làm Việc Nhóm|Giao Tiếp Tốt|Khả Năng Giải Quyết Vấn Đề,10000000,11000000
Quản Lý Dự Án,CÔNG TY CỔ PHẦN GIẢI PHÁP SỐ MOBIFONE,Hà Nội: Ba Đình,Quản Lý Dự Án|Kinh Nghiệm Với Các Giải Pháp Phần Mềm|Hiểu Biết Về Cơ Sở Hạ Tầng Cntt,60000000,70000000
Backend Developer Công Ty IT Hàn Quốc,ORBRO Inc.,Hà Nội: Cầu Giấy,Rest Api|Websocket|Backend,0,2000000
Chuyên Viên Công Nghệ Thông Tin,CÔNG TY CỔ PHẦN CÔNG NGHỆ Y TẾ NHẬT VIỆT,Hồ Chí Minh: Quận 2,Kỹ Năng Giao Tiếp|Kỹ Năng Làm Việc Nhóm|Khả Năng Giải Quyết Vấn Đề,10000000,15000000
Backend Developer,Công Ty CP Giải Pháp Phần Mềm Linh Hoạt,Hồ Chí Minh: Quận 11,Restful Apis|Data Structures And Algorithms|Database Design,0,2000000
Fullstack Developer,XIPAT FLEXIBLE SOLUTIONS COMPANY LIMITED,Hà Nội: Đống Đa,Javascript|Php|Reactjs,0,2000000
Fullstack Developer,CÔNG TY TNHH GROOO INTERNATIONAL,Hồ Chí Minh: Quận 1,Spring Framework|Tiếng Anh|Java,0,2000000
Java Developer Intern,Woori Bank Vietnam,Hà Nội: Nam Từ Liêm,Java,5200000,7800000
Kỹ Sư Lập Trình Phần Mềm,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,Hà Nội: Thạch Thất,Lập Trình|Kiến Thức Về Hệ Điều Hành|Kiến Thức Về Cơ Sở Dữ Liệu,0,2000000
Tester ,BSS Group,Hà Nội: Nam Từ Liêm,Kỹ Năng Giao Tiếp|Kỹ Năng Phân Tích Yêu Cầu|Kiến Thức Về Kiểm Thử Phần Mềm,10000000,15000000
Product Owner,CÔNG TY TNHH DAOUKIWOOM INNOVATION,Hồ Chí Minh: Bình Thạnh,Agile|Scrum|Stakeholder Management,10000000,28000000
Nhân Viên Triển Khai Giải Pháp ERP,CÔNG TY CP PHẦN MỀM QUẢN LÝ DOANH NGHIỆP FAST,Hà Nội: Nam Từ Liêm,Kỹ Năng Giao Tiếp|Kỹ Năng Giải Quyết Vấn Đề|Kỹ Năng Tư Vấn,8000000,15000000
Scrum Master/ Project Manager,OpenCommerce Group,Hà Nội: Đống Đa,Tester Leader|Software Tester|Scrum,0,2000000
Giám Đốc IT,CÔNG TY CỔ PHẦN PGT SOLUTIONS,Hà Nội: Cầu Giấy,Tiếng Nhật N2 Trở Lên|Quản Lý Dự Án It|Quản Lý Ngân Sách It,0,2000000
Blockchain Backend Developer,CÔNG TY TNHH BULL LABS,Hà Nội: Nam Từ Liêm,Css|Git|Http|Https,26000000,65000000
Embedded Software Engineer ,CÔNG TY CỔ PHẦN ĐIỆN TỬ SOJI,Hà Nội: Hà Đông,Debugging|Embedded Systems,0,2000000
Kỹ Thuật Quản Trị Cơ Sở Dữ Liệu,Công ty cổ phần Onenet,Hà Nội: Nam Từ Liêm,Sao Lưu Và Phục Hồi Dữ Liệu (Backup And Recovery)|Bảo Mật Cơ Sở Dữ Liệu (Database Security)|Tối Ưu Hóa Hiệu Suất Cơ Sở Dữ Liệu (Database Performance Tuning),15000000,35000000
Mobile Developer,Công ty Cổ Phần Đầu tư Công nghệ Trip,Hà Nội: Nam Từ Liêm,Hiểu Biết Về Cấu Trúc Dữ Liệu Và Giải Thuật|Kinh Nghiệm Làm Việc Với Restful Api|Lập Trình Swift (Ios) Hoặc Kotlin Java (Android),0,2000000
X Middle Frontend Developer,CÔNG TY CỔ PHẦN GENLOGIN SOFTWARE,Hà Nội: Hà Đông,Css|Html|Javascript (Es6+),20000000,30000000
Senior Mobile Team Lead,CÔNG TY TNHH GROOO INTERNATIONAL,Hà Nội: Cầu Giấy,Quản Lý Dự Án|Agile|Scrum|Lãnh Đạo Nhóm,0,2000000
Fullstack Developer,OpenCommerce Group,Hà Nội: Đống Đa,Javascript|Html|Css|Restful Apis,0,35000000
Chuyên Viên Quản Trị Hệ Thống,CÔNG TY TNHH VETC DIGITAL,Hà Nội: Nam Từ Liêm,Quản Trị Hệ Điều Hành (Windows Server|Linux)|Ảo Hóa (Vmware|Hyper V)|Bảo Mật Hệ Thống,0,33800000
Business Analyst,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,Hà Nội,Sql|Phân Tích Dữ Liệu|Quản Lý Dự Án,0,30000000
Golang Engineer,CÔNG TY TNHH MONSTARLAB VIỆT NAM,Hà Nội: Nam Từ Liêm,Golang,0,50000000
Mobile Engineer,Công ty Cổ phần Công nghệ eUp,Hà Nội: Thanh Xuân,Android Sdk|Mobile Development|Android Developer,0,2000000
Lập Trình Viên Back,VUIHOC.vn,Hà Nội: Thanh Xuân,Node.Js|Javascript (Es6+)|Databases (E.G.|Mongodb|Postgresql|Mysql),20000000,25000000
Blockchain Developer,CÔNG TY TNHH BULL LABS,Hà Nội: Nam Từ Liêm,Blockchain Architecture|Smart Contracts|Cryptography,26000000,65000000
Junior React Native Developer,CÔNG TY CỔ PHẦN TEASER,Hà Nội: Nam Từ Liêm,Javascript|React Native|React,0,12000000
Nhân Viên Hỗ Trợ Phần Mềm FAST,CÔNG TY CP PHẦN MỀM QUẢN LÝ DOANH NGHIỆP FAST,Hà Nội: Nam Từ Liêm,Kỹ Năng Giao Tiếp|Kỹ Năng Giải Quyết Vấn Đề|Kỹ Năng Làm Việc Nhóm,8000000,15000000
Business Analyst,CÔNG TY TNHH MTV SEN VÀNG VIỆT NAM,Hồ Chí Minh: Thủ Đức,Giao Tiếp|Phân Tích Nghiệp Vụ|Giải Quyết Vấn Đề,0,2000000
Full Stack Developer Intern,BSS Group,Hà Nội: Nam Từ Liêm,Html|Css|Javascript,0,5000000
Lập Trình Viên Mobile App/ Mobile Developer,Công ty Cổ phần Tập đoàn Đầu tư EMIR,Hà Nội: Cầu Giấy,Restful Api|Kiến Thức Về Cấu Trúc Dữ Liệu Và Giải Thuật|Quản Lý Bộ Nhớ,16000000,20000000
Lập Trình Viên PHP Developer,CÔNG TY TNHH TRUYỀN THÔNG VÀ QUẢNG CÁO H2T,"Bình Dương: Thuận AnHồ Chí Minh: Thủ Đức, Quận 12, Quận 9",Css|Html|Javascript,0,10000000
Middle AI Engineer,IMT SOLUTIONS CORP,Hồ Chí Minh: Tân Bình,Xử Lý Dữ Liệu|Lập Trình Python|Học Máy (Machine Learning),0,2000000
Product Manager,CÔNG TY TNHH SẢN XUẤT & THƯƠNG MẠI DƯỢC MỸ PHẨM ASIALAB,Hồ Chí Minh: Bình Thạnh,Giao Tiếp|Phân Tích Dữ Liệu|Nghiên Cứu Thị Trường,20000000,35000000
Angular Developer,Công ty cổ phần phần mềm ITSOL Holdings,Hà Nội: Nam Từ Liêm,Angular|Typescript|Html,15000000,22000000
Phó Phòng Công Nghệ Thông Tin,Công ty Cổ phần Tập đoàn Đầu tư EMIR,Hà Nội: Cầu Giấy,Quản Lý Đội Nhóm|Quản Lý Dự Án|Phần Mềm Agile|Scrum,30000000,40000000
Trưởng/Phó Phòng R&D,CÔNG TY CỔ PHẦN TẬP ĐOÀN CÔNG NGHỆ IDEA,Hồ Chí Minh: Thủ Đức,Quản Lý Dự Án|Phân Tích Nghiệp Vụ|Phát Triển Phần Mềm,0,2000000
DEV - Embedded Software Engineer,"VĂN PHÒNG ĐẠI DIỆN KAON GROUP CO., LTD TẠI THÀNH PHỐ HÀ NỘI",Hà Nội: Cầu Giấy,Javascript|Shell Script|Tcp|Ip,25000000,40000000
DevOps Engineer,Công ty Cổ phần TOPCV Việt Nam,Hà Nội: Thanh Xuân,Linux|System Admin|Ci|Cd,0,2000000
IOS Developer,CÔNG TY TNHH PHẦN MỀM TOWER HÀ NỘI,Hà Nội: Nam Từ Liêm,Swift|Xcode,0,2000000
Backend Engineer,CÔNG TY CỔ PHẦN 1MATRIX,Hà Nội: Hoàng Mai,Nodejs|Golang|Rust,0,2000000
QA - Validation & Verification Engineer,"VĂN PHÒNG ĐẠI DIỆN KAON GROUP CO., LTD TẠI THÀNH PHỐ HÀ NỘI",Hà Nội: Cầu Giấy,Ccna|Engish,0,2000000
Senior Fullstack Developer PHP,CÔNG TY TNHH TOP TALENT,Đồng Nai: Biên Hoà,Javascript|Php|Html|Css,20000000,30000000
Nhân Viên Business Analyst,Công ty TNHH Phát triển công nghệ điện tử Bình Anh,Hà Nội,Sql|Phân Tích Dữ Liệu|Truyền Đạt Thông Tin,15000000,20000000
Thực Tập Sinh Công Nghệ Thông Tin ,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,Hồ Chí Minh: Quận 12,Tư Duy Logic|Kỹ Năng Giải Quyết Vấn Đề|Tinh Thần Làm Việc Nhóm,4000000,10000000
Junior Fullstack Developer PHP,CÔNG TY TNHH TOP TALENT,Đồng Nai: Biên Hoà,Css|Git|Github,12000000,15000000
Application Support Assistant Manager / Supervisor,SHINHAN FINANCE,Hồ Chí Minh: Tân Bình,Team Leadership|Application Support|Incident Management,0,2000000
Product Executive,Công ty Cổ phần TOPCV Việt Nam,Hà Nội: Thanh Xuân,Nghiên Cứu Thị Trường|Phân Tích Thị Trường|Quản Lý Sản Phẩm,0,2000000
Junior Fullstack Developers,CÔNG TY TNHH TÍCH HỢP CRM,Hà Nội: Cầu Giấy,Java|Mongodb|Nodejs,0,2000000
Nhân Viên Đánh Giá An Toàn Thông Tin,Công Ty TNHH BlueCyber,Hà Nội: Cầu Giấy,Đánh Giá Rủi Ro|Kỹ Năng Viết Báo Cáo|Phân Tích Lỗ Hổng Bảo Mật,0,2000000
Chương Trình Đào Tạo IT Fresher,NashTech,Hồ Chí Minh: Tân BìnhHà Nội: Cầu Giấy,Tester|Tư Duy Logic|Testing,0,2000000
Java Developer Intern,Woori Bank Vietnam,Hà Nội: Nam Từ Liêm,Java,5200000,7800000
Chuyên Viên Công Nghệ Thông Tin,CÔNG TY CỔ PHẦN CÔNG NGHỆ Y TẾ NHẬT VIỆT,Hồ Chí Minh: Quận 2,Kỹ Năng Giao Tiếp|Kỹ Năng Làm Việc Nhóm|Khả Năng Giải Quyết Vấn Đề,10000000,15000000
Backend Developer,Công Ty CP Giải Pháp Phần Mềm Linh Hoạt,Hồ Chí Minh: Quận 11,Restful Apis|Data Structures And Algorithms|Database Design,0,2000000
Tester Up To 15M,BSS Group,Hà Nội: Nam Từ Liêm,Kỹ Năng Giao Tiếp|Kỹ Năng Phân Tích Yêu Cầu|Kiến Thức Về Kiểm Thử Phần Mềm,10000000,15000000
Fullstack Developer,CÔNG TY TNHH GROOO INTERNATIONAL,Hồ Chí Minh: Quận 1,Spring Framework|Tiếng Anh|Java,0,2000000
Chuyên Viên Kiểm Thử Phần Mềm,CÔNG TY CỔ PHẦN TẬP ĐOÀN APEC GROUP,Hà Nội: Cầu Giấy,Kiến Thức Về Kiểm Thử Phần Mềm|Kỹ Năng Viết Test Case|Kỹ Năng Thực Hiện Test,10000000,18000000
Kỹ Sư Lập Trình Phần Mềm,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,Hà Nội: Thạch Thất,Lập Trình|Kiến Thức Về Hệ Điều Hành|Kiến Thức Về Cơ Sở Dữ Liệu,0,2000000
Nhân Viên Triển Khai Giải Pháp ERP,CÔNG TY CP PHẦN MỀM QUẢN LÝ DOANH NGHIỆP FAST,Hà Nội: Nam Từ Liêm,Kỹ Năng Giao Tiếp|Kỹ Năng Giải Quyết Vấn Đề|Kỹ Năng Tư Vấn,8000000,15000000
Scrum Master/ Project Manager,OpenCommerce Group,Hà Nội: Đống Đa,Tester Leader|Software Tester|Scrum,0,2000000
Quản Lý Dự Án,CÔNG TY CỔ PHẦN GIẢI PHÁP SỐ MOBIFONE,Hà Nội: Ba Đình,Quản Lý Dự Án|Kinh Nghiệm Với Các Giải Pháp Phần Mềm|Hiểu Biết Về Cơ Sở Hạ Tầng Cntt,60000000,70000000
Product Owner,CÔNG TY TNHH DAOUKIWOOM INNOVATION,Hồ Chí Minh: Bình Thạnh,Agile|Scrum|Stakeholder Management,10000000,28000000
Backend Developer Công Ty IT Hàn Quốc,ORBRO Inc.,Hà Nội: Cầu Giấy,Rest Api|Websocket|Backend,0,2000000
Fullstack Developer,XIPAT FLEXIBLE SOLUTIONS COMPANY LIMITED,Hà Nội: Đống Đa,Javascript|Php|Reactjs,0,2000000
Blockchain Backend Developer,CÔNG TY TNHH BULL LABS,Hà Nội: Nam Từ Liêm,Css|Git|Http|Https,26000000,65000000
Giám Đốc IT,CÔNG TY CỔ PHẦN PGT SOLUTIONS,Hà Nội: Cầu Giấy,Tiếng Nhật N2 Trở Lên|Quản Lý Dự Án It|Quản Lý Ngân Sách It,0,2000000
Kỹ Thuật Quản Trị Cơ Sở Dữ Liệu,Công ty cổ phần Onenet,Hà Nội: Nam Từ Liêm,Sao Lưu Và Phục Hồi Dữ Liệu (Backup And Recovery)|Bảo Mật Cơ Sở Dữ Liệu (Database Security)|Tối Ưu Hóa Hiệu Suất Cơ Sở Dữ Liệu (Database Performance Tuning),15000000,35000000
X Middle Frontend Developer,CÔNG TY CỔ PHẦN GENLOGIN SOFTWARE,Hà Nội: Hà Đông,Css|Html|Javascript (Es6+),20000000,30000000
Embedded Software Engineer ,CÔNG TY CỔ PHẦN ĐIỆN TỬ SOJI,Hà Nội: Hà Đông,Debugging|Embedded Systems,0,2000000
Fullstack Developer,OpenCommerce Group,Hà Nội: Đống Đa,Javascript|Html|Css|Restful Apis,0,35000000
Mobile Developer,Công ty Cổ Phần Đầu tư Công nghệ Trip,Hà Nội: Nam Từ Liêm,Hiểu Biết Về Cấu Trúc Dữ Liệu Và Giải Thuật|Kinh Nghiệm Làm Việc Với Restful Api|Lập Trình Swift (Ios) Hoặc Kotlin Java (Android),0,2000000
Business Analyst,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,Hà Nội,Sql|Phân Tích Dữ Liệu|Quản Lý Dự Án,0,30000000
QA - Validation & Verification Engineer,"VĂN PHÒNG ĐẠI DIỆN KAON GROUP CO., LTD TẠI THÀNH PHỐ HÀ NỘI",Hà Nội: Cầu Giấy,Ccna|Engish,0,2000000
Backend Engineer,CÔNG TY CỔ PHẦN 1MATRIX,Hà Nội: Hoàng Mai,Nodejs|Golang|Rust,0,2000000
Senior Fullstack Developer PHP,CÔNG TY TNHH TOP TALENT,Đồng Nai: Biên Hoà,Javascript|Php|Html|Css,20000000,30000000
Nhân Viên Business Analyst,Công ty TNHH Phát triển công nghệ điện tử Bình Anh,Hà Nội,Sql|Phân Tích Dữ Liệu|Truyền Đạt Thông Tin,15000000,20000000
Thực Tập Sinh Công Nghệ Thông Tin,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,Hồ Chí Minh: Quận 12,Tư Duy Logic|Kỹ Năng Giải Quyết Vấn Đề|Tinh Thần Làm Việc Nhóm,4000000,10000000
Kỹ Sư Xây Dựng,Công ty Cổ phần BIM Hà Nội,Hà Nội: Hoàng Mai,Revit|Navisworks|Mep,20000000,26000000
Product Executive,Công ty Cổ phần TOPCV Việt Nam,Hà Nội: Thanh Xuân,Nghiên Cứu Thị Trường|Phân Tích Thị Trường|Quản Lý Sản Phẩm,0,2000000
Junior Fullstack Developer PHP,CÔNG TY TNHH TOP TALENT,Đồng Nai: Biên Hoà,Css|Git|Github,12000000,15000000
Application Support Assistant Manager / Supervisor,SHINHAN FINANCE,Hồ Chí Minh: Tân Bình,Team Leadership|Application Support|Incident Management,0,2000000
Junior Fullstack Developers,CÔNG TY TNHH TÍCH HỢP CRM,Hà Nội: Cầu Giấy,Java|Mongodb|Nodejs,0,2000000
Nhân Viên Đánh Giá An Toàn Thông Tin,Công Ty TNHH BlueCyber,Hà Nội: Cầu Giấy,Đánh Giá Rủi Ro|Kỹ Năng Viết Báo Cáo|Phân Tích Lỗ Hổng Bảo Mật,0,2000000
Chương Trình Đào Tạo IT Fresher,NashTech,Hồ Chí Minh: Tân BìnhHà Nội: Cầu Giấy,Tester|Tư Duy Logic|Testing,0,2000000
Nhân Viên / Kỹ Sư Modeler BIM 3D,CÔNG TY TNHH HANOI BIM CENTER,Hà Nội: Cầu Giấy,3D Max|Revit|Archicad,0,2000000
Automotive,Công ty TNHH Vietsol,Hà Nội: Long Biên,Phân Tích Yêu Cầu|Kiểm Thử Phần Mềm|Viết Testcase,0,2000000
Kỹ Sư Mạng/Network Engineer,Công ty TNHH Hanyang Digitech Vina,Phú Thọ: Tx Phú Thọ,Tcp|Ip|Routing Protocols (Bgp|Ospf|Eigrp)|Switching (Vlan|Stp),0,2000000
BIM MEP Leader / Trưởng Nhóm BIM,CÔNG TY TNHH SOCOTEC VIỆT NAM,Hà Nội: Ba Đình,Kinh Nghiệm Sử Dụng Phần Mềm Bim (Revit Structure|Tekla Structures),20000000,25000000
Senior Game Designer,Công ty TNHH Skylink Group,Hồ Chí Minh: Quận 2,Giao Tiếp|Quản Lý Dự Án|Thiết Kế Game,0,2000000
Site Reliability Engineer,Công ty cổ phần Tasco,Hà Nội: Nam Từ Liêm,Linux System Administration|Cloud Computing (Aws|Gcp|Azure)|Configuration Management (Ansible|Chef|Puppet),0,2000000
Product Executive/BA,Công ty Cổ phần Công nghệ KiotViet,Hà Nội: Hoàn Kiếm,Phân Tích Dữ Liệu (Data Analysis)|Nghiên Cứu Thị Trường (Market Research)|Phân Tích Nghiệp Vụ (Business Analysis),20000000,31000000
Senior Business Analyst,Công ty Cổ phần Đầu tư và Phát triển Koolsoft,Hà Nội: Thanh Xuân,Giao Tiếp|Phân Tích Dữ Liệu|Phân Tích Nghiệp Vụ,20000000,30000000
Junior PHP Developer,EDUPIA,Hà Nội: Thanh Xuân,Php|Mysql|Html,10000000,15000000
(VN 186) Kỹ Sư Phát Triển Phần Mềm Nhúng Matlab Simulink,CTY TNHH R TECHNO VIỆT NAM,Hồ Chí Minh,Matlab|Simulink|Phát Triển Phần Mềm Nhúng,0,32000000
Backend Developer,CÔNG TY CỔ PHẦN GIẢI PHÁP ATOM,Hồ Chí Minh: Quận 7,Kiểm Soát Phiên Bản (Git)|Thiết Kế Cơ Sở Dữ Liệu (Sql|Nosql)|Cấu Trúc Dữ Liệu Và Giải Thuật,0,2000000
DevOps Engineer,Công ty Cổ phần đầu tư Công Nghệ và Thương Mại Softdreams,Hà Nội: Nam Từ Liêm,Linux|Cloud (Aws|Azure|Gcp)|Ci Cd (Jenkins|Gitlab Ci|Circleci),13000000,20000000
Lập Trình Viên Java / Java Developer,Bệnh Viện Đa Khoa Quốc Tế Thu Cúc – Chi Nhánh Công Ty Cổ Phần Y Khoa & Thẩm Mỹ Thu Cúc,Hà Nội: Tây Hồ,Java|Sql|Spring Framework,0,2000000
Lập Trình Viên BE,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ RUBICON,Hà Nội: Cầu Giấy,C#|.Net Framework .Net Core|Asp.Net (Mvc|Web Api),0,2000000
Automation Tester,TMA Solutions,Hồ Chí Minh: Quận 12,Kiến Thức Về Kiểm Thử Phần Mềm|Kinh Nghiệm Viết Test Case Và Test Plan|Kinh Nghiệm Sử Dụng Các Công Cụ Kiểm Thử Tự Động (Selenium|Junit|Testng|Cucumber),0,2000000
Business Analyst,CÔNG TY CỔ PHẦN GIẢI PHÁP ATOM,Hồ Chí Minh: Quận 7,Giao Tiếp|Phân Tích Dữ Liệu|Phân Tích Nghiệp Vụ,0,2000000
Business Analyst,Công ty TNHH Avada Group,Hà Nội: Hà Đông,Giao Tiếp|Phân Tích Dữ Liệu|Phân Tích Nghiệp Vụ,12000000,26000000
Fullstack Developer,Công ty TNHH Avada Group,Hà Nội: Hà Đông,Javascript|Html|Css|Backend Framework (Node.Js|Python Django|Ruby On Rails|Java Spring),12000000,25000000
Vị Trí Nhân Viên Giám Sát ATTT,CÔNG TY CỔ PHẦN GIẢI PHÁP ĐIỆN TỬ VIỆT HỒNG QUANG,Hồ Chí Minh: Quận 1,Quản Lý Sự Cố Bảo Mật|Kiến Thức Về Các Mối Đe Dọa An Ninh Mạng|Phân Tích Bảo Mật,0,2000000
Full-Stack Developer [Core-Members]/IT ,Công ty TNHH TD Consulting,Hà Nội: Hai Bà Trưng,Javascript|Reactjs|Html|Css,0,2000000
Frontend Developer,CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẦU TƯ CÔNG NGHỆ NAM LONG,Hồ Chí Minh: Phú Nhuận,Css|Git|Html,0,2000000
AI Engineer,Công ty Cổ phần đầu tư Công Nghệ và Thương Mại Softdreams,Hà Nội: Nam Từ Liêm,Git|Python|Machine Learning,17000000,25000000
Nodejs Developer,FPT IS,Hồ Chí Minh: Quận 7,Nodejs|Rest Api|Nestjs,0,2000000
Senior Data Engineer,Công ty Cổ phần GEM,Hà Nội: Cầu Giấy,Python|Sql|Etl,30000000,45000000
Frontend Developer,CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẦU TƯ CÔNG NGHỆ NAM LONG,Hồ Chí Minh: Phú Nhuận,Css|Git|Html,0,2000000
